IP, EA, H-L gap
[5.6869, 4.1243, 0.571185914179]
[6.3716, 3.0634, 1.01373544859]
[6.1502, 3.3876, 0.901499079738]
[5.9949, 3.6074, 0.794213417545]
[5.8907, 3.7519, 0.734620150614]
[5.8144, 3.8563, 0.698911817881]
[5.7559, 3.9342, 0.676231592207]
[5.7091, 3.9964, 0.660805174579]
[5.6717, 4.0463, 0.650217736491]
[5.6395, 4.0889, 0.64208062713]
[6.3354, 3.0968, 1.024504094403]
[6.1108, 3.4195, 0.91376121666]
[5.9558, 3.6315, 0.815599843883]
[5.854, 3.7691, 0.764107909376]
[5.7809, 3.8673, 0.734524209149]
[5.7253, 3.9414, 0.716299995196]
[5.6809, 3.9989, 0.703935549979]
[5.6453, 4.0455, 0.695435449431]
[5.6155, 4.0839, 0.689246900566]
[6.3032, 3.1331, 1.029507690997]
[6.0732, 3.4567, 0.915358303888]
[5.921, 3.6616, 0.826173288563]
[5.8223, 3.7935, 0.78199892438]
[5.7508, 3.8859, 0.756749904619]
[5.6974, 3.9562, 0.741383416033]
[5.6558, 4.0109, 0.731531811791]
[5.6215, 4.0544, 0.724502833879]
[5.5934, 4.0906, 0.719584940625]
[5.703, 2.4594, 0.956181399253]
[5.4432, 2.8078, 0.768025295122]
[5.2858, 3.0031, 0.672020151993]
[5.1783, 3.1332, 0.61604443365]
[5.0991, 3.2278, 0.579783827846]
[5.0356, 3.2975, 0.555925322628]
[4.985, 3.3542, 0.538921180175]
[4.9549, 3.3799, 0.554737090324]
[4.9196, 3.4226, 0.539935795581]
[5.6772, 2.5239, 0.956455184803]
[5.4316, 2.8701, 0.788537927734]
[5.2841, 3.0606, 0.70805358745]
[5.1848, 3.1868, 0.663093706991]
[5.1106, 3.2769, 0.634977229886]
[5.0533, 3.3459, 0.616296834476]
[5.0089, 3.4013, 0.603733605829]
[4.972, 3.4458, 0.594539213087]
[4.9408, 3.4831, 0.587218865416]
[5.6715, 2.5827, 0.968628954729]
[5.4336, 2.9324, 0.808293263774]
[5.2962, 3.1239, 0.736354023162]
[5.2023, 3.2486, 0.697348849993]
[5.1319, 3.3371, 0.673087634671]
[5.0796, 3.4046, 0.658151431067]
[5.0388, 3.4577, 0.648217404769]
[5.0041, 3.5003, 0.640507596153]
[4.9747, 3.5346, 0.634780523659]
[5.6657, 2.6388, 0.975523116872]
[5.4349, 2.9942, 0.818544220414]
[5.3032, 3.1855, 0.753194913853]
[5.2143, 3.3082, 0.718856512771]
[5.1498, 3.3957, 0.698640046074]
[5.1, 3.4605, 0.685560406115]
[5.0611, 3.5114, 0.676923376962]
[5.0295, 3.5524, 0.670834957549]
[5.0029, 3.586, 0.666356389456]
[5.697, 2.4519, 0.948196569663]
[5.4426, 2.757, 0.803147792749]
[5.2732, 2.9555, 0.696259678007]
[5.1582, 3.0879, 0.630923399419]
[5.0746, 3.1824, 0.592109072894]
[5.0086, 3.2549, 0.564926482659]
[4.9559, 3.3128, 0.545862278082]
[4.9114, 3.3596, 0.531858236141]
[4.8758, 3.4001, 0.521418475711]
[5.6738, 2.5056, 0.961517868634]
[5.4293, 2.8284, 0.818115596329]
[5.2788, 3.0246, 0.728744862635]
[5.1766, 3.1555, 0.677453697175]
[5.0992, 3.2481, 0.646386877659]
[5.0412, 3.3187, 0.626619719612]
[4.9944, 3.3735, 0.613165541706]
[4.9567, 3.4194, 0.603265264669]
[4.9258, 3.458, 0.596380991205]
[5.67, 2.5667, 0.973389067394]
[5.4345, 2.8951, 0.837195659272]
[5.291, 3.0928, 0.754161610573]
[5.1934, 3.2202, 0.709897591538]
[5.1235, 3.3114, 0.683979342363]
[5.0684, 3.3795, 0.666963282414]
[5.0254, 3.433, 0.655994668351]
[4.9893, 3.4762, 0.648133336584]
[4.9587, 3.5113, 0.642026639812]
[5.6562, 2.6236, 0.976662755791]
[5.4381, 2.9623, 0.844549354126]
[5.2977, 3.1574, 0.768571246355]
[5.2075, 3.2842, 0.730324180979]
[5.1413, 3.3734, 0.708114275691]
[5.0897, 3.4393, 0.693950581361]
[5.0496, 3.4906, 0.684860052158]
[5.0175, 3.5324, 0.678850023474]
[4.9886, 3.5657, 0.673249626377]
[6.5965, 3.2611, 1.003697110725]
[6.3828, 3.5893, 0.864336803902]
[6.2389, 3.8149, 0.759770032329]
[6.142, 3.9694, 0.697338147618]
[6.0696, 4.0814, 0.656794642106]
[6.0142, 4.1674, 0.630590110786]
[5.9708, 4.2351, 0.61281026367]
[5.9333, 4.2907, 0.598945350436]
[5.903, 4.3365, 0.588893321062]
[6.5405, 3.2708, 1.022747355076]
[6.3045, 3.5975, 0.878275923038]
[6.159, 3.8076, 0.787803296804]
[6.0617, 3.9467, 0.738014209061]
[5.9906, 4.0486, 0.707947851037]
[5.9356, 4.1262, 0.688316139098]
[5.8924, 4.1873, 0.675026965045]
[5.8569, 4.237, 0.665412882331]
[5.8271, 4.2778, 0.658170004481]
[6.4969, 3.2956, 1.032924666932]
[6.2554, 3.6164, 0.894052238245]
[6.1088, 3.8148, 0.812857969336]
[6.0118, 3.9477, 0.769514170107]
[5.9414, 4.0428, 0.744293162972]
[5.8892, 4.1157, 0.728947092684]
[5.8467, 4.172, 0.717864031215]
[5.8126, 4.2178, 0.710291945704]
[5.7845, 4.2559, 0.704938238328]
[6.458, 3.3239, 1.036644055493]
[6.2111, 3.64, 0.900005362237]
[6.0653, 3.8314, 0.826281569732]
[5.9696, 3.9578, 0.788657619141]
[5.9006, 4.048, 0.766792825325]
[5.8489, 4.1159, 0.753389603119]
[5.8094, 4.1694, 0.745217413038]
[5.7764, 4.2121, 0.738865727448]
[5.7489, 4.2473, 0.734169444043]
